title,year,doi,publication_type,authors,abstract,relevance_score,relevance_tag,relevance_reasoning,short_summary,key_contributions,project_relevance,source,link
Intelligent and Efficient IoT Through the Cooperation of TinyML and Edge Computing,2024,10.60692/04s37-p4j54,Repository,"Ramon Sanchez-Iborra, Abdeljalil Zoubir, Abderahmane Hamdouchi, Ali Idri, Antonio F. Skarmeta","The coordinated integration of heterogeneous TinyML-enabled elements in highly distributed Internet of Things (IoT) environments paves the way for the development of truly intelligent and context-aware applications. In this work, we propose a hierarchical ensemble TinyML scheme that permits system-wide decisions by considering the individual decisions made by the IoT elements deployed in a certain scenario. A two-layered TinyML-based edge computing solution has been implemented and evaluated in a real smart-agriculture use case, permitting to save wireless transmissions, reduce energy consumption and response times, at the same time strengthening data privacy and security.",76,Highly Relevant,"- **Relevance Score:** 76/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses hierarchical ensemble TinyML for smart-agriculture, delivering on-device decisions that cut wireless traffic and latency. Deploys a two-layer edge architecture that processes data locally, embodying core TinyML on micro-controllers. Implements the scheme in a real farm scenario, showing energy savings and faster response times, and evaluates power draw and inference latency. Provides a field case study confirming practicality. Does not specify ESP32 or Raspberry Pi hardware, nor release code, and lacks a direct cloud-vs-edge comparison.","This work proposes a hierarchical ensemble TinyML scheme for intelligent IoT applications, integrating heterogeneous TinyML-enabled elements in distributed environments. A two-layered TinyML-based edge computing solution was implemented and evaluated in a real smart-agriculture use case. This implementation permitted saving wireless transmissions, reducing energy consumption and response times, while also strengthening data privacy and security. The methodology allows for system-wide decisions by considering individual decisions from deployed IoT elements.",* Proposes a hierarchical ensemble TinyML scheme for system-wide decisions in IoT environments. * Implements and evaluates a two-layered TinyML-based edge computing solution in a smart-agriculture use case.,"This paper is relevant to an ""AgroSense"" project because it proposes a hierarchical TinyML scheme for intelligent IoT applications, specifically evaluating it in a real smart-agriculture use case. The solution involves a two-layered TinyML-based edge computing approach, which could be directly applicable to an autonomous precision agriculture system. It focuses on integrating heterogeneous TinyML-enabled elements, which aligns with a multi-modular system, and aims to save wireless transmissions, reduce energy consumption, and improve response times, all critical for distributed agricultural sensing. The paper explicitly mentions ""TinyML"" as a key technology.",scispace,
Implementation of smart security system in agriculture fields using embedded machine learning,2023,10.1109/icaisc58445.2023.10200240,Proceedings Article,"Vanamala Viswanatha, A C Ramachandra, Puneet Hegde, M. V. Raghunatha Reddy, Vivek Hegde, Vageesh Sabhahit","Tiny Machine Learning (TinyML), a branch of machine learning that focuses on the effectiveness of machine learning on extremely constrained edge machines, is flourishing. Deep learning techniques are being used more frequently lately in a variety of data-intensive and time-sensitive Internet of Things (IoT) apps. Because MCUs lack resources like RAM, deploying new methods like Deep Neural Networks (DNN) models on them has proven challenging. However, recent developments in the TinyML space promise to create a completely new class of peripheral apps. By eliminating the need for the cloud's omnipresent computing support, which uses power and presents risks to data security and privacy, TinyML paves the way for the development of original apps and services. Traditional machine learning needs a lot of processing capacity to predict a scenario. This computational capacity will be moved from high-end systems to low-end devices thanks to the TinyML method for machine learning on small devices. To keep the precision of the learning models, enable resource-efficient small edge devices to manage the training and deployment process, maximize computing capacity, and enhance dependability are some of the challenges presented by this change. Here in this paper, we propose a efficient method to detect animals near farmland for security purposes using TinyML and compared with many algorithms and their effectiveness.",56,Partially Relevant,"- **Relevance Score:** 56/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses TinyML to detect animals near farmland, enabling on-device inference and edge processing. Describes a security use-case for smart farming but lacks details on specific ESP32/Raspberry Pi hardware, energy metrics, benchmarks, open-source artifacts, real-field trials, or cloud-vs-edge comparisons.","The paper proposes an efficient method using TinyML to detect animals near farmland for security purposes. This approach addresses challenges of deploying Deep Neural Networks (DNN) models on resource-constrained microcontrollers (MCUs). By leveraging TinyML, the system eliminates the need for cloud computing, enhancing data security and privacy. The methodology involves optimizing computational capacity for resource-efficient small edge devices to manage training and deployment. The effectiveness of this animal detection method is compared with various algorithms.",* Proposed an efficient method to detect animals near farmland for security purposes using TinyML. * Compared this method with many algorithms and their effectiveness.,"This paper is relevant to the ""AgroSense"" project because it proposes an efficient method to detect animals near farmland for security purposes using TinyML. TinyML is a branch of machine learning that focuses on extremely constrained edge machines, which aligns with the need for resource-efficient systems in precision agriculture. The paper highlights that TinyML can move computational capacity from high-end systems to low-end devices, enabling resource-efficient small edge devices to manage the training and deployment process. This approach could be integrated into the ""AgroSense"" ground-based sensor fusion system for real-time, on-device animal detection without relying on cloud computing, addressing challenges like power consumption and data security.",scispace,https://www.academia.edu/download/105533207/Implementation_of_Smart_Security_System_in_Agricul.pdf
Simulating Battery-Powered TinyML Systems Optimised using Reinforcement Learning in Image-Based Anomaly Detection,2024,,Preprint,"Jared M. Ping, Ken J. Nixon","Advances in Tiny Machine Learning (TinyML) have bolstered the creation of smart industry solutions, including smart agriculture, healthcare and smart cities. Whilst related research contributes to enabling TinyML solutions on constrained hardware, there is a need to amplify real-world applications by optimising energy consumption in battery-powered systems. The work presented extends and contributes to TinyML research by optimising battery-powered image-based anomaly detection Internet of Things (IoT) systems. Whilst previous work in this area has yielded the capabilities of on-device inferencing and training, there has yet to be an investigation into optimising the management of such capabilities using machine learning approaches, such as Reinforcement Learning (RL), to improve the deployment battery life of such systems. Using modelled simulations, the battery life effects of an RL algorithm are benchmarked against static and dynamic optimisation approaches, with the foundation laid for a hardware benchmark to follow. It is shown that using RL within a TinyML-enabled IoT system to optimise the system operations, including cloud anomaly processing and on-device training, yields an improved battery life of 22.86% and 10.86% compared to static and dynamic optimisation approaches respectively. The proposed solution can be deployed to resource-constrained hardware, given its low memory footprint of 800 B, which could be further reduced. This further facilitates the real-world deployment of such systems, including key sectors such as smart agriculture.",53,Partially Relevant,"- **Relevance Score:** 53/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Uses TinyML on-device inference and RL-based battery management for smart agriculture, showing 22% battery gain; lacks specific ESP32/RPi hardware, real field tests, and detailed performance metrics.",,,,arxiv,https://arxiv.org/pdf/2403.05106v2
Everything You wanted to Know about Smart Agriculture,2022,10.48550/arxiv.2201.04754,Posted Content,,"The world population is anticipated to increase by close to 2 billion by 2050 causing a rapid escalation of food demand. A recent projection shows that the world is lagging behind accomplishing the ""Zero Hunger"" goal, in spite of some advancements. Socio-economic and well being fallout will affect the food security. Vulnerable groups of people will suffer malnutrition. To cater to the needs of the increasing population, the agricultural industry needs to be modernized, become smart, and automated. Traditional agriculture can be remade to efficient, sustainable, eco-friendly smart agriculture by adopting existing technologies. In this survey paper the authors present the applications, technological trends, available datasets, networking options, and challenges in smart agriculture. How Agro Cyber Physical Systems are built upon the Internet-of-Agro-Things is discussed through various application fields. Agriculture 4.0 is also discussed as a whole. We focus on the technologies, such as Artificial Intelligence (AI) and Machine Learning (ML) which support the automation, along with the Distributed Ledger Technology (DLT) which provides data integrity and security. After an in-depth study of different architectures, we also present a smart agriculture framework which relies on the location of data processing. We have divided open research problems of smart agriculture as future research work in two groups - from a technological perspective and from a networking perspective. AI, ML, the blockchain as a DLT, and Physical Unclonable Functions (PUF) based hardware security fall under the technology group, whereas any network related attacks, fake data injection and similar threats fall under the network research problem group.",26,Low Relevance,"- **Relevance Score:** 26/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Broad smart-agri overview with edge AI concepts, but lacks concrete TinyML, hardware details, benchmarks, energy data, or real-world field validation.","This paper surveys smart agriculture by detailing its applications, technological trends, available datasets, networking options, and challenges. It discusses how Agro Cyber-Physical Systems are built upon the Internet-of-Agro-Things, integrating technologies like AI, ML, and Distributed Ledger Technology (DLT) for automation, data integrity, and security. The paper presents a smart agriculture framework based on data processing location and highlights open research problems from both technological and networking perspectives, emphasizing practical aspects like hardware security and network reliability.","The primary technical contribution of this paper is the presentation of a smart agriculture framework that relies on the location of data processing, dividing open research problems into technological and networking perspectives for future work. It also discusses how Agro Cyber Physical Systems are built upon the Internet-of-Agro-Things through various application fields and covers Agriculture 4.0 as a whole.","This paper is highly relevant to the ""AgroSense"" project due to its comprehensive discussion of smart agriculture, including technologies and applications that align with the project's focus: * **Autonomous Multi-Modular Precision Agriculture System:** The paper extensively covers ""smart agriculture"" and ""precision farming,"" defining them as optimization, accuracy, and customized solutions using various technologies. It discusses ""Agriculture 4.0"" which amalgamates technologies like IoT, AI, UAV, and robotics, directly supporting the concept of an autonomous multi-modular system. * **UAV Photogrammetry:** The paper explicitly mentions Unmanned Aerial Vehicles (UAVs) as a key element of Agriculture 4.0 (Figure 2) and an application of smart agriculture (Figure 10). It states that UAVs are used for ""crop mapping, field monitoring, remote sensing, fertigation, and weed detection"" and can assess ""crop health"" and guide the ""entire crop cultivation process"" (Section 5.7). It also lists ""UAV taken image dataset"" as an open research problem (Section 9.1). * **Ground-Based Sensor Fusion:** The ""Agriculture Device Layer"" (Layer-1) is described as the base layer comprising ""various things like sensors, laid out through the agricultural land,"" which ""sense the physical parameters, collect data round the clock in real-time and send them to the gateway node at next layer through the connectivity layer, which is basically a Wireless Sensor Network (WSN)"" (Section 3). This directly relates to ground-based sensor deployment and data collection. * **Specific Hardware (ESP32, Raspberry Pi, TinyML):** * The paper mentions ""Hardware boards are being used as the edge devices"" and specifically lists the **Raspberry Pi** for hydroponic systems [19], and the **ESP8266** and **ESP32** for managing ambient factors and smart irrigation, respectively [20, 21]. These are directly relevant to the project's hardware choices. * It also discusses ""TinyML as-a-service"" as bridging ML and embedded worlds, enabling ""ML based task is being performed at the limited resource IoT device only"" (Section 4), which is crucial for edge processing in an autonomous system. ""Low powered and solar powered, low latency TinyML devices"" are identified as a promising research field (Section 9.1). * While ""Jetson"" is not explicitly named, the discussion of ""Edge Computing Layer"" (Layer-2) for processing, filtering, and encrypting data, and performing prognostics and suggesting solutions with ""trained machine learning models"" (Section 3), aligns with the capabilities of platforms like NVIDIA Jetson for AI at the edge.",scispace_full_text,/pdf/everything-you-wanted-to-know-about-smart-agriculture-14uhktjc.pdf
TinyML Platforms Benchmarking,2022,10.1007/978-3-030-95498-7_20,Book Chapter,,"Recent advances in state-of-the-art ultra-low power embedded devices for machine learning (ML) have permitted a new class of products whose key features enable ML capabilities on microcontrollers with less than 1 mW power consumption (TinyML). TinyML provides a unique solution by aggregating and analyzing data at the edge on low-power embedded devices. However, we have only recently been able to run ML on microcontrollers, and the field is still in its infancy, which means that hardware, software, and research are changing extremely rapidly. Consequently, many TinyML frameworks have been developed for different platforms to facilitate the deployment of ML models and standardize the process. Therefore, in this paper, we focus on benchmarking two popular frameworks: Tensorflow Lite Micro (TFLM) on the Arduino Nano BLE and CUBE AI on the STM32-NucleoF401RE to provide a standardized framework selection criterion for specific applications.",47,Partially Relevant,"- **Relevance Score:** 47/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Benchmarks TinyML on microcontrollers, showcasing edge inference; agriculture cited only as illustrative example; no ESP32/Raspberry Pi use or real agricultural IoT deployment.","This paper benchmarks TinyML frameworks, TFLM and CUBE AI, on specific microcontrollers for two use cases: Gesture Recognition and Wake Word Spotting. While the paper mentions smart agriculture as a TinyML application, it does not detail its practical implementation or findings within the context of agriculture. Instead, it focuses on comparing memory and inference times for the two chosen use cases. The findings indicate CUBE AI generally performs better in terms of memory and inference time but is limited to STM devices.",This paper's primary technical contribution is providing a standardized framework selection criterion for specific applications by benchmarking two popular TinyML frameworks: Tensorflow Lite Micro (TFLM) on the Arduino Nano BLE and CUBE AI on the STM32-NucleoF401RE.,"This paper is relevant to the ""AgroSense"" project because: * It highlights TinyML's use in smart agriculture, specifically mentioning the Plant Village team's app for detecting and treating crop diseases. * TinyML's goal is to deploy ML models on ultra-low power devices, which is crucial for autonomous systems like those in ""AgroSense"" that need robust performance while minimizing power consumption. * The paper discusses TinyML's ability to eliminate the need for cloud server connectivity, improving responsiveness and privacy measures, which is beneficial for edge processing in an autonomous system. * It mentions the ESP32 as a compatible platform for Tensorflow Lite Micro (TFLM), a framework benchmarked in the paper. * The paper also lists Raspberry Pi as a compatible platform for AIfES, another TinyML framework.",scispace_full_text,/pdf/tinyml-platforms-benchmarking-2yklpf75.pdf
Internet of Things (IoT) based Smart Agriculture Aiming to Achieve Sustainable Goals,2022,,Preprint,"Dewan Md Nur Anjum Ashir, Md. Taimur Ahad, Manosh Talukder, Tahsinur Rahman","Despite the fact, a handful of scholars have endorsed the Internet of Things (IoT) as an effective transformative tool for shifting traditional farming to smart farming, relatively little study has addressed the enabling role of smart agriculture in achieving sustainable agriculture and green climate. Researchers are more focused on technological invention and model introduction rather than discussing societal or global development goals. Sustainable development goals (SDGs) designed by United Nations (UN), therefore demand discussions as SDGs targets have a closer implication of technology. To fill this gap, in this study a model of smart agriculture is developed and centring the model we investigated how the model addresses SDGs targets. The investigation suggests that smart agriculture supports targets mentioned in Goal 6, 7, 8, 9, 11 and 12 of SDG. This research is very important, both for developing and developed nations since most of the nations are moving more towards industrialization and aiming to achieve the SDG goals This research is expected to provide a path to the IT practitioners, governments and developing agencies on how technological intervention can provide a more sustainable agricultural world.",11,Low Relevance,"- **Relevance Score:** 11/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Discusses IoT-enabled smart agriculture model linked to SDGs, but lacks edge computing, TinyML, hardware details, benchmarks, or field validation.",,,,arxiv,https://arxiv.org/pdf/2206.06300v1
Edge Computing to Enable Front-End Data Processing Capabilities in Smart Agriculture and Forestry,,,,"T Yang, MF Awan, A Jakovljevic",,39,Low Relevance,"- **Relevance Score:** 39/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Uses Nvidia Jetson edge device for real-time analytics in smart agriculture, integrates Azure IoT Hub, but lacks TinyML, ESP32/Raspberry Pi, and detailed energy or performance evaluations.",,,,google_scholar,https://ieeexplore.ieee.org/abstract/document/11410015/
IoT-Aerial Base Station Task Offloading with Risk-Sensitive Reinforcement Learning for Smart Agriculture,2022,10.1109/tgcn.2022.3205330,Preprint,"Turgay Pamuklu, Anne Catherine Nguyen, Aisha Syed, W. Sean Kennedy, Melike Erol-Kantarci","Aerial base stations (ABSs) allow smart farms to offload processing responsibility of complex tasks from internet of things (IoT) devices to ABSs. IoT devices have limited energy and computing resources, thus it is required to provide an advanced solution for a system that requires the support of ABSs. This paper introduces a novel multi-actor-based risk-sensitive reinforcement learning approach for ABS task scheduling for smart agriculture. The problem is defined as task offloading with a strict condition on completing the IoT tasks before their deadlines. Moreover, the algorithm must also consider the limited energy capacity of the ABSs. The results show that our proposed approach outperforms several heuristics and the classic Q-Learning approach. Furthermore, we provide a mixed integer linear programming solution to determine a lower bound on the performance, and clarify the gap between our risk-sensitive solution and the optimal solution, as well. The comparison proves our extensive simulation results demonstrate that our method is a promising approach for providing a guaranteed task processing services for the IoT tasks in a smart farm, while increasing the hovering time of the ABSs in this farm.",34,Low Relevance,"- **Relevance Score:** 34/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Applies risk-sensitive RL for task offloading in smart farms, focusing on aerial edge nodes; lacks TinyML, ESP32/RPi, and real-world hardware evaluations.",,,,arxiv,https://arxiv.org/pdf/2209.07382v1
Survey of Intelligent Agricultural IoT Based on 5G,2023,10.3390/electronics12102336,Journal Article,"Jun Lu, Lei Shu, Xu Lu, Ye Liu","In the future, agriculture will face the need for increasing production, sustainability, wisdom, and efficiency, which will bring significant challenges to the development of modern agriculture. With the gradual popularization of 5G, advanced information technologies such as the Internet of Things and artificial intelligence promoted the evolution of modern agriculture to intelligent agriculture. The 5G-based Internet of Things will play an essential role in the development of smart agriculture. This paper investigates the research progress of 5G Internet of Things in smart agriculture. It sorts out the development status of 5G smart agriculture Internet of Things in recent years. Following that, the concept of 5G smart agriculture Internet of Things is put forward. It expounds on the connotation, architecture, and enabling key technologies. According to the key application scenarios of smart agriculture, practical cases are presented, the development trend and application value of 5G smart agriculture Internet of Things are shown, and the future development direction is put forward. Firstly, the concept of smart agriculture is distinguished, and the category scenarios of smart agriculture are summarized. Following that, the current review research on 5G-IoT is analyzed. This paper focuses on the analysis and summary of the changes brought by 5G to various key scenarios in smart agriculture. This paper analyzes the related key technologies and challenges, puts forward some key scientific problems, and summarizes the research ideas. Finally, the development trend and application value of 5G smart agriculture Internet of Things are shown. The future development direction is also proposed.",30,Low Relevance,"- **Relevance Score:** 30/100 - **Relevance Tag:** Low Relevance - **Reasoning:** Offers a broad 5G-IoT smart agriculture overview, covering domain and IoT deployments, but omits edge computing, TinyML, ESP32/Raspberry Pi implementations, and performance or field evaluations.","This paper surveys the research progress of 5G Internet of Things (IoT) in smart agriculture, sorting out its development status and proposing a concept, architecture, and enabling key technologies. It analyzes how 5G impacts various key scenarios in smart agriculture, such as smart farms, forestry, animal husbandry, and fishing grounds, detailing practical applications like image processing, intelligent machinery, and UAV operations. The paper highlights 5G's role in improving production efficiency, reducing costs, and enhancing environmental protection in agriculture.","The primary innovation or technical contribution of this paper is to summarize the research and prospects of 5G joint IoT in smart agriculture. It reviews the differences 5G offers compared to previous communication technologies, outlines the impact of 5G on the agricultural Internet of Things, and proposes possible challenges and potential research issues based on the application paradigm of 5G and smart agricultural IoT.","This paper is relevant to the ""AgroSense"" project due to its comprehensive coverage of 5G-IoT in smart agriculture, which aligns with the project's focus on an Autonomous Multi-Modular Precision Agriculture System using UAV Photogrammetry and Ground-Based Sensor Fusion. Key areas of relevance include: * **UAV Photogrammetry and Ground-Based Sensor Fusion:** The paper frequently discusses the use of UAVs for agricultural monitoring, remote sensing, and image acquisition (e.g., Section 2.2.1, 4.4, Figure 34). It also emphasizes the importance of massive sensing devices and sensor networks for comprehensive perception in smart agriculture (Section 2.2.2, 3.2.1, 3.3, 5.1). The concept of ""multi-source data-sensing machine learning algorithms"" (Section 5.5.2) directly supports the fusion aspect of the AgroSense project. * **Autonomous Multi-Modular System:** The paper details the evolution towards intelligent agricultural machinery and autonomous operations, including automatic driving of agricultural machinery and cooperative task allocation for multiple machines based on 5G (Section 4.3, Figure 32, Figure 33). This aligns with the ""Autonomous Multi-Modular"" aspect of AgroSense. * **Key Technologies and Architecture:** The paper highlights 5G, Internet of Things, big data, artificial intelligence, edge computing, and cloud services as foundational technologies for smart agriculture (Section 1.1, 1.2, Figure 4, Figure 14). It also presents an architecture for 5G smart agricultural IoT that integrates cloud, edge, and end devices (Figure 11, Figure 12), which is crucial for designing the AgroSense system. * **Hardware Implications:** While specific hardware like ESP32, Raspberry Pi, Jetson, or TinyML are not explicitly named, the paper discusses ""sensor nodes"" and ""terminal node devices"" (Section 3.2.1, Figure 15) and mentions that future IoT operating systems will need to run on ""a variety of different hardware platforms"" (Section 3.2.2). It notes the need for hardware changes in sensor nodes, including communication modules and low-power design, to adapt to 5G performance (Section 3.2.1). The discussion of edge computing (Section 3.4) implies the need for processing capabilities at the edge, where devices like Raspberry Pi or Jetson could be utilized. The concept of ""lightweight deep learning algorithms"" (Section 5.5.1) is also relevant for resource-constrained edge devices like TinyML-enabled microcontrollers.",scispace_full_text,/pdf/survey-of-intelligent-agricultural-iot-based-on-5g-1acechg2.pdf
Integrating IoT and Edge Computing for Smart Agriculture with Real-Time Data Analytics,2025,10.1109/icscds65426.2025.11167645,Journal Article,"S. Santhosh, Omprakash Gurrapu, Nidhi Dimri, Obuxova Nadejda Vladimirovna, B. Karthik, Dilli Ganesh","This phenomenon of smart agriculture revolution occurs on the basis of the integration of IoT and edge computing since it enables real-time analysis to help make critical decisions along with resources and productivity enhancement. The existing agriculture scenario relies on cloud computing in the centralized data centers but they cause delays and reduce the number of bandwidths. Data in edge computing is processed locally close to their source due to which they offer quick response time and reinforce the performance of the system. IoT such as sensors combined with drones and automatic irrigation equipment provide real time information on agricultural conditions related to soil moisture and temperature along with humidity and plant condition. When on-site edge computing solutions are installed, naive farms are used as collection points and can conduct timely analysis and allow responsiveness in real-time allowing specific irrigation and removal of pests. Farmers have the capability of predicting with real time analytics to perform maintenance, identify diseases in its early stages and improve yield estimates that enhances sustainability and efficiency. Operational systems involving machine learning algorithms improve the decision-making process since they are able to identify the patterns along with the anomalies that are emerging. The study focuses on the applications of IoT and edge computing into intelligent agriculture with the evaluation of its architecture and showing the benefits of its operation, such as its efficiencies, as well as the scalability of its system and lower energy consumptions. This research gives the practical implementation of the high-tech computing practices and gives possible ways of further development of technology to allow maintenance of technology oriented way of farming.",50,Partially Relevant,"- **Relevance Score:** 50/100 - **Relevance Tag:** Partially Relevant - **Reasoning:** Offers a thorough IoT-edge architecture for smart agriculture with real-time analytics, but omits TinyML, specific ESP32/Raspberry Pi implementations, and detailed quantitative evaluations.","This study integrates IoT and edge computing for smart agriculture, enabling real-time data analytics and resource optimization. It facilitates predictive maintenance, early disease identification, and improved yield estimates through on-site processing. IoT sensors, drones, and automatic irrigation provide real-time data on soil, temperature, humidity, and plant conditions. Edge computing solutions installed on farms allow for timely analysis and responsiveness, enabling specific irrigation and pest removal. Machine learning algorithms further enhance decision-making by identifying patterns and anomalies.","The primary technical contribution of this paper is the integration of IoT and edge computing for smart agriculture, enabling real-time data analytics, resource optimization, and predictive maintenance. This includes the installation of on-site edge computing solutions for timely analysis and responsiveness, and the use of machine learning algorithms for improved decision-making, pattern identification, and anomaly detection.","This paper is relevant to the ""AgroSense"" project because it integrates IoT and edge computing for smart agriculture, enabling real-time data analytics and predictive maintenance. * The paper describes IoT components like sensors, drones, and automatic irrigation equipment, which provide real-time information on agricultural conditions, aligning with ""AgroSense""'s use of UAV Photogrammetry and Ground-Based Sensor Fusion. * It highlights on-site edge computing solutions for timely analysis and responsiveness, which would be crucial for an ""Autonomous Multi-Modular Precision Agriculture System."" * The study mentions operational systems involving machine learning algorithms for decision-making, pattern identification, and anomaly detection, supporting the advanced analytics required by ""AgroSense."" * While specific hardware like ESP32, Raspberry Pi, Jetson, or TinyML are not explicitly mentioned, the paper's focus on local data processing, quick response times, and system performance reinforcement through edge computing implies the use of such embedded or edge devices for on-site analysis.",scispace,
